"level","elpd_waic","p_waic","waic","se_elpd_waic","se_p_waic","se_waic"
accountant-know,96.6670194772739,0.764525848689602,-193.334038954548,17.6113925709002,0.202762749429579,35.2227851418003
actor-hate,61.6683744245834,1.20172151979436,-123.336748849167,16.3508738096943,0.32583084976235,32.7017476193886
analyst-notify,128.517911506332,0.498181499270187,-257.035823012665,17.3455634219771,0.064140076661724,34.6911268439543
assistant-wish,78.9793156906517,1.26645906773344,-157.958631381303,17.7250993574307,0.258183380907201,35.4501987148614
baker-know,114.500045788264,0.921757033708667,-229.000091576529,18.7976496497579,0.371445834817427,37.5952992995157
basketball player-hate,94.5356232261655,1.14805610589478,-189.071246452331,15.9181413096704,0.284023211172356,31.8362826193408
batter-worry,113.519528223626,0.670788354851755,-227.039056447252,17.0671239566982,0.117012917505726,34.1342479133965
bookkeeper-lie,77.627376179072,1.39919758245064,-155.254752358144,16.0416746802377,0.451846437921862,32.0833493604754
boss-tell,23.893038415219,0.856294458316527,-47.7860768304379,11.9662860766612,0.274667605451439,23.9325721533224
bouncer-dissuade,124.97413603707,0.571515484724878,-249.948272074139,16.3572845108578,0.132715324378974,32.7145690217155
bricklayer-complain,149.485387739645,0.572273568326217,-298.97077547929,15.6407193719352,0.109285940091962,31.2814387438703
businesswoman-boast,137.115642274292,1.03145321146746,-274.231284548583,14.8992138173843,0.38880827772977,29.7984276347686
chef-love,158.765974757635,0.576609263402778,-317.53194951527,13.3685468017061,0.133487124632433,26.7370936034122
chemist-lie,88.3910605974608,1.24636423270292,-176.782121194922,17.7334410190114,0.270590449242334,35.4668820380228
child-apologize,131.291390965338,0.383794287755276,-262.582781930676,17.5492743775341,0.0756706888416043,35.0985487550682
clerk-apologize,81.9170627341127,1.35531833942621,-163.834125468225,17.5263804068133,0.305922184770016,35.0527608136267
climber-like,158.563674905027,0.801875506944771,-317.127349810053,13.7397034152877,0.337183323092536,27.4794068305754
coach-congratulate,131.243390563212,0.671819589064708,-262.486781126424,16.2917427276102,0.190205117268996,32.5834854552204
concierge-convince,57.6572754260217,0.99558009091645,-115.314550852043,16.1157855630822,0.27510536145798,32.2315711261645
conductor-congratulate,119.448382042884,1.26369935093944,-238.896764085767,18.4339320267407,0.44775476907607,36.8678640534814
congresswoman-regret,122.384766899453,1.03250113101866,-244.769533798906,16.3940341296548,0.204552460486661,32.7880682593097
contractor-mislead,150.667056307383,0.813403937702305,-301.334112614766,16.7438770138739,0.325104734664766,33.4877540277478
coroner-persuade,82.8615895535551,0.828741347619858,-165.72317910711,18.7003682729582,0.138883803931059,37.4007365459164
curator-like,85.8347371864215,1.15794286190541,-171.669474372843,16.8363259451683,0.287880909564291,33.6726518903367
cyclist-think,146.34643995027,0.232853891524392,-292.692879900539,16.2256999726696,0.0417167221367379,32.4513999453392
dancer-boast,108.747214911147,0.943804165712296,-217.494429822294,17.7372582763945,0.189860722261714,35.474516552789
daughter-convince,164.785878544869,0.337853652786343,-329.571757089737,14.2385910694452,0.0599895229195555,28.4771821388903
defendant-hope,16.3068205070134,4.95780114247036,-32.6136410140268,10.0667421641849,2.24319001998388,20.1334843283698
deliveryman-regret,110.853792331949,0.878057315891769,-221.707584663898,17.18594569979,0.157391833469864,34.3718913995799
detective-disprove,109.517786908755,0.853621863586727,-219.03557381751,17.8069316843688,0.250755062046577,35.6138633687376
director-congratulate,123.422525371635,0.300029286859386,-246.845050743269,17.6921803583324,0.0504842390535173,35.3843607166648
